                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                0.56552,                0.71777,                  1.072,                0.82537,                0.83507,                0.86707,                0.75763,                0.54085,                0.74867,                 1.0003,             0.00022389,             0.00022389,             0.00022389
                    110,                0.53104,                0.68764,                 1.0341,                0.81267,                0.85183,                0.86867,                0.76547,                0.50937,                0.68501,                0.98129,             0.00022153,             0.00022153,             0.00022153
                    111,                0.55218,                0.70047,                  1.048,                0.84001,                0.83718,                0.86835,                0.77229,                0.50112,                 0.6846,                0.97904,             0.00021917,             0.00021917,             0.00021917
                    112,                0.52704,                0.66075,                 1.0364,                0.85318,                0.81792,                0.86272,                0.75798,                0.51991,                0.71637,                0.98141,             0.00021682,             0.00021682,             0.00021682
                    113,                0.52464,                0.64677,                 1.0334,                0.81719,                0.84389,                0.86119,                0.76138,                0.50378,                0.74386,                0.98535,             0.00021446,             0.00021446,             0.00021446
                    114,                0.54048,                0.66775,                 1.0413,                0.85664,                0.83629,                0.87259,                0.77115,                0.51517,                0.69724,                0.99933,             0.00021211,             0.00021211,             0.00021211
                    115,                0.54195,                0.66606,                 1.0458,                0.84367,                0.81567,                0.86988,                0.77141,                0.50332,                0.69528,                0.98906,             0.00020975,             0.00020975,             0.00020975
                    116,                0.53317,                0.65902,                 1.0354,                0.80897,                0.81546,                0.84977,                0.75737,                0.48837,                0.72271,                0.98041,             0.00020739,             0.00020739,             0.00020739
                    117,                0.54115,                 0.6698,                 1.0436,                0.79391,                 0.8456,                0.85319,                0.75834,                0.49633,                0.72135,                0.98379,             0.00020504,             0.00020504,             0.00020504
                    118,                0.52809,                0.66866,                 1.0389,                0.80663,                0.84267,                0.85466,                0.75304,                0.49823,                0.71069,                0.98412,             0.00020268,             0.00020268,             0.00020268
                    119,                 0.5407,                0.66261,                 1.0397,                0.80287,                0.85376,                0.85093,                0.75907,                0.49225,                0.71326,                0.98121,             0.00020032,             0.00020032,             0.00020032
                    120,                0.52396,                0.62699,                 1.0269,                0.83606,                0.82434,                0.86434,                0.76917,                0.48619,                0.70702,                0.97425,             0.00019797,             0.00019797,             0.00019797
                    121,                0.52532,                0.62801,                 1.0365,                0.83429,                0.83129,                0.85982,                0.76821,                0.48397,                0.68312,                 0.9725,             0.00019561,             0.00019561,             0.00019561
